Parking Number,Capacity,Occupancy
HSBC P3,719,61
HSBC P3,719,64
HSBC P3,719,80
HSBC P3,719,107
HSBC P3,719,150
HSBC P3,719,177
HSBC P3,719,219
HSBC P3,719,247
HSBC P3,719,259
HSBC P3,719,266
HSBC P3,719,269
HSBC P3,719,263
HSBC P3,719,238
HSBC P3,719,215
HSBC P3,719,192
HSBC P3,719,165
HSBC P3,719,162
HSBC P3,719,143
HSBC P3,719,54
HSBC P3,719,59
HSBC P3,719,71
HSBC P3,719,83
HSBC P3,719,114
HSBC P3,719,128
HSBC P3,719,148
HSBC P3,719,162
HSBC P3,719,178
HSBC P3,719,183
HSBC P3,719,175
HSBC P3,719,179
HSBC P3,719,174
HSBC P3,719,158
HSBC P3,719,145
HSBC P3,719,129
HSBC P3,719,121
HSBC P3,719,114
HSBC P3,719,58
HSBC P3,719,63
HSBC P3,719,70
HSBC P3,719,95
HSBC P3,719,135
HSBC P3,719,160
HSBC P3,719,177
HSBC P3,719,191
HSBC P3,719,199
HSBC P3,719,206
HSBC P3,719,198
HSBC P3,719,208
HSBC P3,719,200
HSBC P3,719,175
HSBC P3,719,158
HSBC P3,719,153
HSBC P3,719,135
HSBC P3,719,129
HSBC P3,719,58
HSBC P3,719,61
HSBC P3,719,75
HSBC P3,719,103
HSBC P3,719,128
HSBC P3,719,172
HSBC P3,719,188
HSBC P3,719,199
HSBC P3,719,210
HSBC P3,719,206
HSBC P3,719,200
HSBC P3,719,201
HSBC P3,719,193
HSBC P3,719,181
HSBC P3,719,172
HSBC P3,719,159
HSBC P3,719,158
HSBC P3,719,132
HSBC P3,719,58
HSBC P3,719,61
HSBC P3,719,75
HSBC P3,719,104
HSBC P3,719,158
HSBC P3,719,191
HSBC P3,719,223
HSBC P3,719,254
HSBC P3,719,306
HSBC P3,719,320
HSBC P3,719,348
HSBC P3,719,357
HSBC P3,719,395
HSBC P3,719,400
HSBC P3,719,395
HSBC P3,719,406
HSBC P3,719,381
HSBC P3,719,365
HSBC P3,719,42
HSBC P3,719,42
HSBC P3,719,43
HSBC P3,719,43
HSBC P3,719,50
HSBC P3,719,64
HSBC P3,719,100
HSBC P3,719,126
HSBC P3,719,148
HSBC P3,719,170
HSBC P3,719,189
HSBC P3,719,205
HSBC P3,719,208
HSBC P3,719,209
HSBC P3,719,191
HSBC P3,719,180
HSBC P3,719,155
HSBC P3,719,133
HSBC P3,719,54
HSBC P3,719,56
HSBC P3,719,65
HSBC P3,719,73
HSBC P3,719,92
HSBC P3,719,113
HSBC P3,719,144
HSBC P3,719,149
HSBC P3,719,159
HSBC P3,719,171
HSBC P3,719,176
HSBC P3,719,172
HSBC P3,719,161
HSBC P3,719,154
HSBC P3,719,137
HSBC P3,719,129
HSBC P3,719,130
HSBC P3,719,114
HSBC P3,719,56
HSBC P3,719,64
HSBC P3,719,74
HSBC P3,719,93
HSBC P3,719,129
HSBC P3,719,167
HSBC P3,719,200
HSBC P3,719,219
HSBC P3,719,225
HSBC P3,719,221
HSBC P3,719,217
