Sr. No,Date Time,Slots occupied,Target,Parking Availability,Car Type
1,01-01-2024 08:00,300,100.00%,Yes,SUV
2,01-01-2024 08:03,300,100.00%,Yes,SUV
3,01-01-2024 08:06,300,100.00%,Yes,SUV
4,01-01-2024 08:09,300,100.00%,Yes,SUV
5,01-01-2024 08:12,300,100.00%,Yes,SUV
6,01-01-2024 08:15,300,100.00%,Yes,SUV
7,01-01-2024 08:18,300,100.00%,Yes,SUV
8,01-01-2024 08:21,300,100.00%,Yes,SUV
9,01-01-2024 08:24,300,100.00%,Yes,SUV
10,01-01-2024 08:27,300,100.00%,Yes,SUV
11,01-01-2024 08:30,300,100.00%,Yes,SUV
12,01-01-2024 08:33,300,100.00%,Yes,SUV
13,01-01-2024 08:36,300,100.00%,Yes,SUV
14,01-01-2024 08:39,300,100.00%,Yes,SUV
15,01-01-2024 08:42,295,98.33%,Yes,SUV
16,01-01-2024 08:45,294,98.00%,Yes,SUV
17,01-01-2024 08:48,293,97.67%,Yes,SUV
18,01-01-2024 08:51,292,97.33%,Yes,SUV
19,01-01-2024 08:54,291,97.00%,Yes,SUV
20,01-01-2024 08:57,290,96.67%,Yes,SUV
21,01-01-2024 09:00,290,96.67%,Yes,SUV
22,01-01-2024 09:03,270,90.00%,Yes,SUV
23,01-01-2024 09:06,250,83.33%,Yes,SUV
24,01-01-2024 09:09,240,80.00%,Yes,SUV
25,01-01-2024 09:12,220,73.33%,Yes,SUV
26,01-01-2024 09:15,205,68.33%,Yes,SUV
27,01-01-2024 09:18,189,63.00%,Yes,SUV
28,01-01-2024 09:21,173,57.67%,Yes,SUV
29,01-01-2024 09:24,157,52.33%,Yes,SUV
30,01-01-2024 09:27,141,47.00%,Yes,SUV
31,01-01-2024 09:30,125,41.67%,Yes,SUV
32,01-01-2024 09:33,109,36.33%,Yes,SUV
33,01-01-2024 09:36,93,31.00%,Yes,SUV
34,01-01-2024 09:39,77,25.67%,Yes,SUV
35,01-01-2024 09:42,61,20.33%,Yes,SUV
36,01-01-2024 09:45,45,15.00%,No,SUV
37,01-01-2024 09:48,29,9.67%,No,SUV
38,01-01-2024 09:51,13,4.33%,No,SUV
39,01-01-2024 09:54,5,1.67%,No,SUV
40,01-01-2024 09:57,0,0.00%,No,SUV
41,01-01-2024 10:00,0,0.00%,No,SUV
42,01-01-2024 10:03,0,0.00%,No,SUV
43,01-01-2024 10:06,0,0.00%,No,SUV
44,01-01-2024 10:09,0,0.00%,No,SUV
45,01-01-2024 10:12,0,0.00%,No,SUV
46,01-01-2024 10:15,0,0.00%,No,SUV
47,01-01-2024 10:18,0,0.00%,No,SUV
48,01-01-2024 10:21,0,0.00%,No,SUV
49,01-01-2024 10:24,0,0.00%,No,SUV
50,01-01-2024 10:27,0,0.00%,No,SUV
51,01-01-2024 10:30,0,0.00%,No,SUV
52,01-01-2024 10:33,0,0.00%,No,SUV
53,01-01-2024 10:36,0,0.00%,No,SUV
54,01-01-2024 10:39,0,0.00%,No,SUV
55,01-01-2024 10:42,0,0.00%,No,SUV
56,01-01-2024 10:45,0,0.00%,No,SUV
57,01-01-2024 10:48,0,0.00%,No,SUV
58,01-01-2024 10:51,0,0.00%,No,SUV
59,01-01-2024 10:54,0,0.00%,No,SUV
60,01-01-2024 10:57,0,0.00%,No,SUV
61,01-01-2024 11:00,0,0.00%,No,SUV
62,01-01-2024 11:03,0,0.00%,No,SUV
63,01-01-2024 11:06,0,0.00%,No,SUV
64,01-01-2024 11:09,0,0.00%,No,SUV
65,01-01-2024 11:12,0,0.00%,No,SUV
66,01-01-2024 11:15,0,0.00%,No,SUV
67,01-01-2024 11:18,0,0.00%,No,SUV
68,01-01-2024 11:21,0,0.00%,No,SUV
69,01-01-2024 11:24,0,0.00%,No,SUV
70,01-01-2024 11:27,0,0.00%,No,SUV
71,01-01-2024 11:30,0,0.00%,No,SUV
72,01-01-2024 11:33,0,0.00%,No,SUV
73,01-01-2024 11:36,0,0.00%,No,SUV
74,01-01-2024 11:39,0,0.00%,No,SUV
75,01-01-2024 11:42,0,0.00%,No,SUV
76,01-01-2024 11:45,0,0.00%,No,SUV
77,01-01-2024 11:48,0,0.00%,No,SUV
78,01-01-2024 11:51,0,0.00%,No,SUV
79,01-01-2024 11:54,0,0.00%,No,SUV
80,01-01-2024 11:57,0,0.00%,No,SUV
81,01-01-2024 12:00,0,0.00%,No,SUV
82,01-01-2024 12:03,0,0.00%,No,SUV
83,01-01-2024 12:06,0,0.00%,No,SUV
84,01-01-2024 12:09,0,0.00%,No,SUV
85,01-01-2024 12:12,0,0.00%,No,SUV
86,01-01-2024 12:15,0,0.00%,No,SUV
87,01-01-2024 12:18,0,0.00%,No,SUV
88,01-01-2024 12:21,0,0.00%,No,SUV
89,01-01-2024 12:24,0,0.00%,No,SUV
90,01-01-2024 12:27,0,0.00%,No,SUV
91,01-01-2024 12:30,0,0.00%,No,SUV
92,01-01-2024 12:33,0,0.00%,No,SUV
93,01-01-2024 12:36,0,0.00%,No,SUV
94,01-01-2024 12:39,0,0.00%,No,SUV
95,01-01-2024 12:42,0,0.00%,No,SUV
96,01-01-2024 12:45,0,0.00%,No,SUV
97,01-01-2024 12:48,0,0.00%,No,SUV
98,01-01-2024 12:51,0,0.00%,No,SUV
99,01-01-2024 12:54,0,0.00%,No,SUV
100,01-01-2024 12:57,0,0.00%,No,SUV
101,01-01-2024 13:00,0,0.00%,No,SUV
102,01-01-2024 13:03,0,0.00%,No,SUV
103,01-01-2024 13:06,0,0.00%,No,SUV
104,01-01-2024 13:09,0,0.00%,No,SUV
105,01-01-2024 13:12,0,0.00%,No,SUV
